StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,PP - Without CPO,SCS - Without CPO,ST - Without CPO,AVG - Without CPO,PP - With CPO,PP - LP,PP - Anon,PP - Publish,PP - Custom,SCS - With CPO,SCS - LP,SCS - Notify,SCS - Anon,SCS - Publish,SCS - Custom,ST - With CPO,ST - LP,ST - Notify,ST - Anon,ST - Publish,ST - Custom,AVG - With CPO
11/17/2019 17:01,11/17/2019 17:05,IP Address,100,232,TRUE,11/17/2019 17:05,R_eDoJFFIm8ImzNV7,anonymous,EN,5,5,4,4.666666667,5,5,5,5,,5,5,5,5,5,,5,5,5,5,5,,5
11/18/2019 10:23,11/18/2019 10:28,IP Address,100,264,TRUE,11/18/2019 10:28,R_1K9103Z4NvU1DpR,anonymous,EN,4,5,4,4.333333333,5,4,5,5,,5,4,5,5,4,,5,4,5,5,4,,5
11/21/2019 10:57,11/21/2019 11:00,IP Address,100,210,TRUE,11/21/2019 11:00,R_2ro5DTZlkGRQZLu,anonymous,EN,4,4,4,4,4,4,5,5,,5,5,5,5,5,,5,5,5,5,5,,4.666666667
12/4/2019 18:19,12/4/2019 18:22,IP Address,100,232,TRUE,12/4/2019 18:22,R_3lPHybMkHrp0diu,anonymous,EN,5,4,1,3.333333333,1,,,,Not comfortable with facial recognition ,4,2,3,5,4,,5,3,5,5,3,,3.333333333
12/2/2019 19:18,12/2/2019 19:22,IP Address,100,254,TRUE,12/2/2019 19:22,R_3qDP4si6XEFTUfW,anonymous,EN,4,5,4,4.333333333,5,5,5,5,,4,4,4,4,4,,4,4,4,4,4,,4.333333333
12/3/2019 14:41,12/3/2019 14:44,IP Address,100,181,TRUE,12/3/2019 14:44,R_3iF6OkpBysViLl2,anonymous,EN,4,4,3,3.666666667,4,4,4,2,,4,4,4,2,4,,4,4,4,4,4,,4
12/3/2019 19:44,12/3/2019 19:45,IP Address,100,78,TRUE,12/3/2019 19:45,R_3PIiaTgTqPXOgTH,anonymous,EN,4,3,4,3.666666667,5,4,4,4,,4,4,4,4,4,,4,5,4,4,5,,4.333333333
11/17/2019 16:12,11/17/2019 16:24,IP Address,100,736,TRUE,11/17/2019 16:24,R_3LXqJ24pT7wGQ6g,anonymous,EN,4,5,1,3.333333333,4,5,3,4,,3,,,,,Identity protection in case of data breach ,4,5,3,5,5,,3.666666667
11/17/2019 16:22,11/17/2019 16:29,IP Address,100,382,TRUE,11/17/2019 16:29,R_3IbgTLoLGb051An,anonymous,EN,4,4,2,3.333333333,4,5,5,4,,5,5,4,5,5,,4,4,4,5,4,,4.333333333
11/17/2019 17:07,11/17/2019 17:09,IP Address,100,125,TRUE,11/17/2019 17:09,R_1LBS9Te1mdxduIr,anonymous,EN,1,4,5,3.333333333,4,4,3,4,,5,5,4,3,4,,4,4,4,4,5,,4.333333333
11/22/2019 7:24,11/22/2019 7:30,IP Address,100,348,TRUE,11/22/2019 7:30,R_2V86K2oiEBvyj9m,anonymous,EN,1,4,3,2.666666667,2,,,,Practices that access criminal records and valid security breaches. Not my day to day patterns. ,4,5,4,5,3,,4,4,5,4,4,,3.333333333
12/3/2019 10:23,12/3/2019 10:53,IP Address,100,1803,TRUE,12/3/2019 10:53,R_115fqwSxQtmKXd6,anonymous,EN,1,4,2,2.333333333,3,,,,Having measures in place apart from just having a CPO to protect privacy ,4,5,4,5,5,,4,5,4,5,5,,3.666666667
12/3/2019 11:56,12/3/2019 12:00,IP Address,100,264,TRUE,12/3/2019 12:00,R_3G2OjCGqv4EPGjr,anonymous,EN,4,2,1,2.333333333,5,4,5,5,,4,4,5,5,5,,4,4,5,5,5,,4.333333333
11/17/2019 16:11,11/17/2019 16:14,IP Address,100,170,TRUE,11/17/2019 16:14,R_3kFkmTeQ7kmkOeM,anonymous,EN,1,3,2,2,4,5,5,5,,4,5,5,5,5,,4,5,5,5,5,,4
11/17/2019 21:12,11/17/2019 21:18,IP Address,100,373,TRUE,11/17/2019 21:18,R_s6Asr0LsCUzfeox,anonymous,EN,2,2,1,1.666666667,3,,,,"It is just that even though the motive is good it just provides an extra tool to gather data on its citizens.

This also depends on how the socio political institutions are, their strengths and the level of autonomy they are bestowed ",3,,,,,Same answer as before,4,4,4,5,5,,3.333333333
12/3/2019 2:10,12/3/2019 2:21,IP Address,100,675,TRUE,12/3/2019 2:21,R_2OZ1tkEWvLvvykQ,anonymous,EN,1,3,1,1.666666667,2,,,,Complete Anonymization of data,2,,,,,Policy should also notify what data is collected and how it is used for transparency,4,4,5,4,3,,2.666666667
11/25/2019 17:02,11/25/2019 17:03,IP Address,100,74,TRUE,11/25/2019 17:03,R_2wQTs8DMTLV8Tpg,anonymous,EN,2,1,1,1.333333333,4,4,4,4,,4,4,4,4,4,,4,4,4,2,4,,4
11/19/2019 9:47,11/19/2019 9:52,IP Address,100,264,TRUE,11/19/2019 9:52,R_2E4ehzGAhvkjdXw,anonymous,EN,1,1,1,1,4,3,4,5,,4,3,5,4,5,,4,3,5,4,5,,4
11/25/2019 15:54,11/25/2019 16:03,IP Address,100,543,TRUE,11/25/2019 16:03,R_1gLULepMpWbIbPa,anonymous,EN,1,1,1,1,2,,,,I believe that any private data should never be used as it poses a threat of being exposed even with the presence of CPO. We have seen lot of cases in public where the data was leaked even though companies obliged with all the privacy laws and policies.,2,,,,,Stricker rules and fines on violating privacy data. ,4,5,5,5,5,,2.666666667
11/25/2019 17:30,11/25/2019 17:34,IP Address,100,239,TRUE,11/25/2019 17:34,R_3HXFAM742KwrrTW,anonymous,EN,1,1,1,1,5,5,5,5,,4,4,4,4,4,,4,4,4,4,4,,4.333333333
12/2/2019 23:28,12/2/2019 23:32,IP Address,100,244,TRUE,12/2/2019 23:32,R_114k1pYGi58C92V,anonymous,EN,5,4,4,4.333333333,1,,,,Should be free of bias,4,1,4,4,4,,3,,,,,not sure,2.666666667
11/17/2019 20:32,11/17/2019 20:42,IP Address,100,585,TRUE,11/17/2019 20:42,R_3nUzxXTNyd7DiOK,anonymous,EN,2,2,5,3,3,,,,Training Los Incognitos police department to implement unbiased objective decision making in using Predictive policing,4,5,4,4,5,,3,,,,,Law enforcement practice and information on demand to citizens,3.333333333
11/25/2019 17:37,11/25/2019 17:47,IP Address,100,595,TRUE,11/25/2019 17:47,R_20mcSEiWtG1zcdj,anonymous,EN,3,4,2,3,4,3,4,3,,3,,,,,None,3,,,,,None,3.333333333
11/17/2019 21:56,11/17/2019 22:04,IP Address,100,497,TRUE,11/17/2019 22:04,R_3ERRd9Kjy7Xn9L0,anonymous,EN,2,5,1,2.666666667,4,4,5,4,,4,4,5,5,4,,3,,,,,Just a count of footfalls rather than individual tracking.,3.666666667
12/2/2019 12:19,12/2/2019 12:25,IP Address,100,359,TRUE,12/2/2019 12:25,R_1rwa7b1u86JdTs8,anonymous,EN,2,3,2,2.333333333,4,4,5,5,,4,4,4,5,5,,3,,,,,Real time snooping of data makes me conscious and reduced my focus on the road. I believe data collection should be optional,3.666666667
12/2/2019 12:30,12/2/2019 12:36,IP Address,100,310,TRUE,12/2/2019 12:36,R_28ArAe8AukbQqms,anonymous,EN,3,1,1,1.666666667,4,4,5,5,,2,,,,,I'll never be comfortable sharing such minute aspects of my daily routine.,3,,,,,"My comfort level has increased after knowing that there is someone responsible to keep my data anonymous. However, I'm still uncomfortable in sharing every aspect of my daily life, including travel pattern.",3
11/25/2019 16:30,11/25/2019 16:44,IP Address,100,864,TRUE,11/25/2019 16:44,R_1I3CJ3gvrxGclJJ,anonymous,EN,1,1,1,1,3,,,,"Use of facial recognition is necessary but not acceptable. Hence, this feature itself is redundant.
Actions rather than facial features would be more recommended.",3,,,,,"Why would you need authentication to report littering?
Even if you do (assuming to avoid irrelevant complaints), why would that data be used to track people's jog timings?",3,,,,,Notify the usage of data to every person. Extremely itchy when someone collects my information.,3
11/17/2019 16:29,11/17/2019 16:35,IP Address,100,361,TRUE,11/17/2019 16:35,R_1Lp4zCAbTl2I1VO,anonymous,EN,3,5,4,4,4,4,5,3,,5,4,5,5,3,,2,,,,,Avoid individual recognition and instead adoption of mass data that would essentially mask the individual identity for the purpose of this service is a better in terms of privacy. ,3.666666667
11/25/2019 16:16,11/25/2019 16:17,IP Address,100,70,TRUE,11/25/2019 16:17,R_3HGFP7jKwcHdSml,anonymous,EN,3,2,4,3,5,3,3,2,,2,,,,,Aa,2,,,,,Bh,3
11/18/2019 6:09,11/18/2019 6:17,IP Address,100,491,TRUE,11/18/2019 6:17,R_1giv5rShSx7unlL,anonymous,EN,4,2,1,2.333333333,4,3,5,4,,4,3,3,5,4,,2,,,,,"Anonymity is of great importance. As long as generic data is collected that does not allow anyone with legal or illegal access to uniquely identify me, it can be collected. In this example, using cameras and face recognition is not really needed to arrive at measuring crowd. Much simpler and non-invasive methods can work well in this scenario",3.333333333
11/25/2019 16:01,11/25/2019 16:12,IP Address,100,668,TRUE,11/25/2019 16:12,R_3iWiHujMsHYIFUE,anonymous,EN,3,2,2,2.333333333,3,,,,Confidentiality,4,4,4,5,4,,2,,,,,Wouldnt make me comfortable with anything,3
12/3/2019 9:26,12/3/2019 9:35,IP Address,100,527,TRUE,12/3/2019 9:35,R_O6H9cPVlL0qx5eh,anonymous,EN,1,1,1,1,1,,,,"Law Enforcement should provide more human presence )more officers) instead of using technology as a crutch. Based on the current events, there is very little to no trust that the government will not abuse its power even wit hthe presence of a CPO.",2,,,,,All the technical information should be published publicly. A third party entity that consists of the city residents should be created to ensure that the data is actually being anonymized. A third party audit should be performed at least annually to review the anonymization practices and to review the current data collected for presence of any personal identifiable information.,1,,,,,Use of facial recognition is an issue.,1.333333333
